,Unnamed: 0,State,City,Population,Total (Violent and Property),Murder/Manslaughter,Rape,Robbery,Assault,Total Violent,Burglary,Larceny/Theft,Vehicle Theft,Total Property,Arson,blue,adm1_code,population,geometry
20,21,California,San Diego,1386932,2220.67,2.46,39.25,99.01,225.89,366.61,268.03,1214.37,360.57,1842.97,11.09,Blue,USA-3521,37253956,"POLYGON ((-114.354901 34.464667, -114.165972 34.272585, -114.469183 34.067275, -114.548558 33.609525, -114.743301 33.379875, -114.691443 33.203684, -114.655993 33.0539, -114.479777 32.916337, -114.589848 32.716298, -114.72139 32.72083, -115.99108 32.612583, -117.127729 32.535327, -117.295938 33.046225, -117.944 33.621236, -118.410602 33.740909, -118.519895 34.027782, -119.081 34.078, -119.438841 34.348477, -120.367816 34.447226, -120.622865 34.608611, -120.744589 35.156821, -121.714556 36.161721, -122.547451 37.551817, -122.512 37.783611, -122.953317 38.113798, -123.726965 38.951473, -123.86507 39.766927, -124.397958 40.313018, -124.178875 41.142244, -124.213809 41.999478, -119.998976 41.992605, -120.000035 38.995398, -118.11462 37.644421, -116.32075 36.322047, -114.642222 35.053106, -114.62212 34.96368, -114.567084 34.82821, -114.484531 34.653053, -114.354901 34.464667))"
21,22,California,San Francisco,881255,6917.4,6.35,41.65,365.39,301.62,715.0,560.0,5059.49,548.54,6168.02,34.38,Blue,USA-3521,37253956,"POLYGON ((-114.354901 34.464667, -114.165972 34.272585, -114.469183 34.067275, -114.548558 33.609525, -114.743301 33.379875, -114.691443 33.203684, -114.655993 33.0539, -114.479777 32.916337, -114.589848 32.716298, -114.72139 32.72083, -115.99108 32.612583, -117.127729 32.535327, -117.295938 33.046225, -117.944 33.621236, -118.410602 33.740909, -118.519895 34.027782, -119.081 34.078, -119.438841 34.348477, -120.367816 34.447226, -120.622865 34.608611, -120.744589 35.156821, -121.714556 36.161721, -122.547451 37.551817, -122.512 37.783611, -122.953317 38.113798, -123.726965 38.951473, -123.86507 39.766927, -124.397958 40.313018, -124.178875 41.142244, -124.213809 41.999478, -119.998976 41.992605, -120.000035 38.995398, -118.11462 37.644421, -116.32075 36.322047, -114.642222 35.053106, -114.62212 34.96368, -114.567084 34.82821, -114.484531 34.653053, -114.354901 34.464667))"
22,23,California,San Jose,1013240,2861.02,3.08,55.03,132.62,212.91,403.65,378.4,1284.69,777.62,2440.7,16.67,Blue,USA-3521,37253956,"POLYGON ((-114.354901 34.464667, -114.165972 34.272585, -114.469183 34.067275, -114.548558 33.609525, -114.743301 33.379875, -114.691443 33.203684, -114.655993 33.0539, -114.479777 32.916337, -114.589848 32.716298, -114.72139 32.72083, -115.99108 32.612583, -117.127729 32.535327, -117.295938 33.046225, -117.944 33.621236, -118.410602 33.740909, -118.519895 34.027782, -119.081 34.078, -119.438841 34.348477, -120.367816 34.447226, -120.622865 34.608611, -120.744589 35.156821, -121.714556 36.161721, -122.547451 37.551817, -122.512 37.783611, -122.953317 38.113798, -123.726965 38.951473, -123.86507 39.766927, -124.397958 40.313018, -124.178875 41.142244, -124.213809 41.999478, -119.998976 41.992605, -120.000035 38.995398, -118.11462 37.644421, -116.32075 36.322047, -114.642222 35.053106, -114.62212 34.96368, -114.567084 34.82821, -114.484531 34.653053, -114.354901 34.464667))"
23,24,California,Santa Ana,335699,2596.67,6.26,56.0,180.22,246.05,488.53,276.74,1223.72,589.81,2090.27,17.87,Blue,USA-3521,37253956,"POLYGON ((-114.354901 34.464667, -114.165972 34.272585, -114.469183 34.067275, -114.548558 33.609525, -114.743301 33.379875, -114.691443 33.203684, -114.655993 33.0539, -114.479777 32.916337, -114.589848 32.716298, -114.72139 32.72083, -115.99108 32.612583, -117.127729 32.535327, -117.295938 33.046225, -117.944 33.621236, -118.410602 33.740909, -118.519895 34.027782, -119.081 34.078, -119.438841 34.348477, -120.367816 34.447226, -120.622865 34.608611, -120.744589 35.156821, -121.714556 36.161721, -122.547451 37.551817, -122.512 37.783611, -122.953317 38.113798, -123.726965 38.951473, -123.86507 39.766927, -124.397958 40.313018, -124.178875 41.142244, -124.213809 41.999478, -119.998976 41.992605, -120.000035 38.995398, -118.11462 37.644421, -116.32075 36.322047, -114.642222 35.053106, -114.62212 34.96368, -114.567084 34.82821, -114.484531 34.653053, -114.354901 34.464667))"
24,25,California,Santa Clarita,216350,1592.79,1.85,18.49,56.39,85.97,162.7,311.53,923.04,189.51,1424.08,6.01,Blue,USA-3521,37253956,"POLYGON ((-114.354901 34.464667, -114.165972 34.272585, -114.469183 34.067275, -114.548558 33.609525, -114.743301 33.379875, -114.691443 33.203684, -114.655993 33.0539, -114.479777 32.916337, -114.589848 32.716298, -114.72139 32.72083, -115.99108 32.612583, -117.127729 32.535327, -117.295938 33.046225, -117.944 33.621236, -118.410602 33.740909, -118.519895 34.027782, -119.081 34.078, -119.438841 34.348477, -120.367816 34.447226, -120.622865 34.608611, -120.744589 35.156821, -121.714556 36.161721, -122.547451 37.551817, -122.512 37.783611, -122.953317 38.113798, -123.726965 38.951473, -123.86507 39.766927, -124.397958 40.313018, -124.178875 41.142244, -124.213809 41.999478, -119.998976 41.992605, -120.000035 38.995398, -118.11462 37.644421, -116.32075 36.322047, -114.642222 35.053106, -114.62212 34.96368, -114.567084 34.82821, -114.484531 34.653053, -114.354901 34.464667))"
25,26,California,Stockton,309566,5109.09,17.77,49.75,390.22,956.82,1414.56,691.29,2274.15,661.89,3627.34,67.19,Blue,USA-3521,37253956,"POLYGON ((-114.354901 34.464667, -114.165972 34.272585, -114.469183 34.067275, -114.548558 33.609525, -114.743301 33.379875, -114.691443 33.203684, -114.655993 33.0539, -114.479777 32.916337, -114.589848 32.716298, -114.72139 32.72083, -115.99108 32.612583, -117.127729 32.535327, -117.295938 33.046225, -117.944 33.621236, -118.410602 33.740909, -118.519895 34.027782, -119.081 34.078, -119.438841 34.348477, -120.367816 34.447226, -120.622865 34.608611, -120.744589 35.156821, -121.714556 36.161721, -122.547451 37.551817, -122.512 37.783611, -122.953317 38.113798, -123.726965 38.951473, -123.86507 39.766927, -124.397958 40.313018, -124.178875 41.142244, -124.213809 41.999478, -119.998976 41.992605, -120.000035 38.995398, -118.11462 37.644421, -116.32075 36.322047, -114.642222 35.053106, -114.62212 34.96368, -114.567084 34.82821, -114.484531 34.653053, -114.354901 34.464667))"
26,27,Colorado,Aurora,368018,3630.53,8.15,86.68,184.5,329.06,608.39,454.05,1954.8,594.81,3003.66,18.48,Blue,USA-3522,5029196,"POLYGON ((-102.050174 40.000815, -102.040123 38.459875, -102.041182 36.99198, -103.003216 36.995158, -104.200198 36.996192, -105.899861 36.997277, -107.479971 36.999912, -109.045225 36.999912, -109.053183 41.001994, -108.050944 41.002536, -107.049739 41.002536, -105.046864 41.003596, -104.045142 41.004112, -102.048055 41.004112, -102.050174 40.033086, -102.050174 40.000815))"
27,28,Colorado,Colorado Springs,472958,3765.25,6.13,103.39,101.91,312.71,524.15,530.28,2235.08,451.41,3216.78,24.32,Blue,USA-3522,5029196,"POLYGON ((-102.050174 40.000815, -102.040123 38.459875, -102.041182 36.99198, -103.003216 36.995158, -104.200198 36.996192, -105.899861 36.997277, -107.479971 36.999912, -109.045225 36.999912, -109.053183 41.001994, -108.050944 41.002536, -107.049739 41.002536, -105.046864 41.003596, -104.045142 41.004112, -102.048055 41.004112, -102.050174 40.033086, -102.050174 40.000815))"
28,29,Colorado,Denver,706616,4360.93,8.35,98.92,174.35,393.99,675.61,612.92,2267.29,786.85,3667.06,18.26,Blue,USA-3522,5029196,"POLYGON ((-102.050174 40.000815, -102.040123 38.459875, -102.041182 36.99198, -103.003216 36.995158, -104.200198 36.996192, -105.899861 36.997277, -107.479971 36.999912, -109.045225 36.999912, -109.053183 41.001994, -108.050944 41.002536, -107.049739 41.002536, -105.046864 41.003596, -104.045142 41.004112, -102.048055 41.004112, -102.050174 40.033086, -102.050174 40.000815))"
29,30,District of Columbia,"Washington, D.C.",693972,5104.96,16.72,63.84,338.77,529.42,948.74,260.53,3528.96,366.73,4156.22,24.661956521739135,Blue,USA-3556,601723,"POLYGON ((-76.911579 38.878454, -77.041235 38.789545, -77.036481 38.848275, -77.119551 38.934006, -77.0386 38.982169, -76.911579 38.878454))"
30,31,Florida,Hialeah,238260,2422.14,2.52,13.85,64.64,117.52,198.52,248.89,1677.16,287.5,2213.55,10.07,Red,USA-3542,18801310,"POLYGON ((-80.056539 26.88, -80.088015 26.205765, -80.13156 25.816775, -80.38103 25.20616, -80.679799 25.079916, -81.171913 25.201098, -81.330121 25.639753, -81.710072 25.869946, -82.239781 26.729842, -82.70515 27.49504, -82.85526 27.88624, -82.649885 28.55017, -82.93 29.1, -83.70959 29.93656, -84.099797 30.09005, -85.10882 29.63615, -85.28784 29.68612, -85.7731 30.15261, -86.40007 30.40016, -87.530388 30.274199, -87.457886 30.411271, -87.404969 30.608649, -87.633043 30.851528, -87.617153 30.927725, -87.045663 30.984879, -85.005193 30.990693, -84.853316 30.721355, -83.8479 30.675311, -82.226009 30.525553, -82.151931 30.350938, -82.022817 30.440364, -82.020156 30.788018, -81.899517 30.821892, -81.701597 30.74833, -81.490473 30.72983, -81.31371 30.03552, -80.979832 29.179899, -80.535585 28.47213, -80.53004 28.040072, -80.056539 26.88))"
31,32,Florida,Jacksonville,894638,4168.73,12.18,60.14,153.81,405.19,631.32,631.09,2568.64,326.95,3526.68,10.73,Red,USA-3542,18801310,"POLYGON ((-80.056539 26.88, -80.088015 26.205765, -80.13156 25.816775, -80.38103 25.20616, -80.679799 25.079916, -81.171913 25.201098, -81.330121 25.639753, -81.710072 25.869946, -82.239781 26.729842, -82.70515 27.49504, -82.85526 27.88624, -82.649885 28.55017, -82.93 29.1, -83.70959 29.93656, -84.099797 30.09005, -85.10882 29.63615, -85.28784 29.68612, -85.7731 30.15261, -86.40007 30.40016, -87.530388 30.274199, -87.457886 30.411271, -87.404969 30.608649, -87.633043 30.851528, -87.617153 30.927725, -87.045663 30.984879, -85.005193 30.990693, -84.853316 30.721355, -83.8479 30.675311, -82.226009 30.525553, -82.151931 30.350938, -82.022817 30.440364, -82.020156 30.788018, -81.899517 30.821892, -81.701597 30.74833, -81.490473 30.72983, -81.31371 30.03552, -80.979832 29.179899, -80.535585 28.47213, -80.53004 28.040072, -80.056539 26.88))"
32,33,Florida,Miami,463009,4750.89,11.23,22.68,211.23,475.8,720.94,526.99,3090.87,396.32,4014.18,15.77,Red,USA-3542,18801310,"POLYGON ((-80.056539 26.88, -80.088015 26.205765, -80.13156 25.816775, -80.38103 25.20616, -80.679799 25.079916, -81.171913 25.201098, -81.330121 25.639753, -81.710072 25.869946, -82.239781 26.729842, -82.70515 27.49504, -82.85526 27.88624, -82.649885 28.55017, -82.93 29.1, -83.70959 29.93656, -84.099797 30.09005, -85.10882 29.63615, -85.28784 29.68612, -85.7731 30.15261, -86.40007 30.40016, -87.530388 30.274199, -87.457886 30.411271, -87.404969 30.608649, -87.633043 30.851528, -87.617153 30.927725, -87.045663 30.984879, -85.005193 30.990693, -84.853316 30.721355, -83.8479 30.675311, -82.226009 30.525553, -82.151931 30.350938, -82.022817 30.440364, -82.020156 30.788018, -81.899517 30.821892, -81.701597 30.74833, -81.490473 30.72983, -81.31371 30.03552, -80.979832 29.179899, -80.535585 28.47213, -80.53004 28.040072, -80.056539 26.88))"
33,34,Florida,Orlando,283982,6206.38,8.1,64.44,213.04,458.48,744.06,840.9,4125.26,488.41,5454.57,7.75,Red,USA-3542,18801310,"POLYGON ((-80.056539 26.88, -80.088015 26.205765, -80.13156 25.816775, -80.38103 25.20616, -80.679799 25.079916, -81.171913 25.201098, -81.330121 25.639753, -81.710072 25.869946, -82.239781 26.729842, -82.70515 27.49504, -82.85526 27.88624, -82.649885 28.55017, -82.93 29.1, -83.70959 29.93656, -84.099797 30.09005, -85.10882 29.63615, -85.28784 29.68612, -85.7731 30.15261, -86.40007 30.40016, -87.530388 30.274199, -87.457886 30.411271, -87.404969 30.608649, -87.633043 30.851528, -87.617153 30.927725, -87.045663 30.984879, -85.005193 30.990693, -84.853316 30.721355, -83.8479 30.675311, -82.226009 30.525553, -82.151931 30.350938, -82.022817 30.440364, -82.020156 30.788018, -81.899517 30.821892, -81.701597 30.74833, -81.490473 30.72983, -81.31371 30.03552, -80.979832 29.179899, -80.535585 28.47213, -80.53004 28.040072, -80.056539 26.88))"
34,35,Florida,St. Petersburg,263712,5029.35,7.58,51.57,189.22,450.11,698.49,671.95,3269.85,370.86,4312.66,18.2,Red,USA-3542,18801310,"POLYGON ((-80.056539 26.88, -80.088015 26.205765, -80.13156 25.816775, -80.38103 25.20616, -80.679799 25.079916, -81.171913 25.201098, -81.330121 25.639753, -81.710072 25.869946, -82.239781 26.729842, -82.70515 27.49504, -82.85526 27.88624, -82.649885 28.55017, -82.93 29.1, -83.70959 29.93656, -84.099797 30.09005, -85.10882 29.63615, -85.28784 29.68612, -85.7731 30.15261, -86.40007 30.40016, -87.530388 30.274199, -87.457886 30.411271, -87.404969 30.608649, -87.633043 30.851528, -87.617153 30.927725, -87.045663 30.984879, -85.005193 30.990693, -84.853316 30.721355, -83.8479 30.675311, -82.226009 30.525553, -82.151931 30.350938, -82.022817 30.440364, -82.020156 30.788018, -81.899517 30.821892, -81.701597 30.74833, -81.490473 30.72983, -81.31371 30.03552, -80.979832 29.179899, -80.535585 28.47213, -80.53004 28.040072, -80.056539 26.88))"
35,36,Florida,Tampa,384360,2218.24,10.15,31.48,105.63,317.15,464.41,321.31,1274.85,147.52,1743.68,10.15,Red,USA-3542,18801310,"POLYGON ((-80.056539 26.88, -80.088015 26.205765, -80.13156 25.816775, -80.38103 25.20616, -80.679799 25.079916, -81.171913 25.201098, -81.330121 25.639753, -81.710072 25.869946, -82.239781 26.729842, -82.70515 27.49504, -82.85526 27.88624, -82.649885 28.55017, -82.93 29.1, -83.70959 29.93656, -84.099797 30.09005, -85.10882 29.63615, -85.28784 29.68612, -85.7731 30.15261, -86.40007 30.40016, -87.530388 30.274199, -87.457886 30.411271, -87.404969 30.608649, -87.633043 30.851528, -87.617153 30.927725, -87.045663 30.984879, -85.005193 30.990693, -84.853316 30.721355, -83.8479 30.675311, -82.226009 30.525553, -82.151931 30.350938, -82.022817 30.440364, -82.020156 30.788018, -81.899517 30.821892, -81.701597 30.74833, -81.490473 30.72983, -81.31371 30.03552, -80.979832 29.179899, -80.535585 28.47213, -80.53004 28.040072, -80.056539 26.88))"
36,37,Georgia,Atlanta,481343,5727.52,16.41,58.59,293.55,567.16,935.72,704.28,3387.19,684.96,4776.43,15.37,Blue,USA-3543,9687653,"POLYGON ((-80.865007 32.033161, -81.33629 31.44049, -81.490473 30.72983, -81.701597 30.74833, -81.899517 30.821892, -82.020156 30.788018, -82.022817 30.440364, -82.151931 30.350938, -82.226009 30.525553, -83.8479 30.675311, -84.853316 30.721355, -85.005193 30.990693, -85.054415 31.108696, -85.1179 31.236233, -85.090382 31.40028, -85.065526 31.577013, -85.119502 31.7654, -85.063924 32.083417, -84.898843 32.259117, -84.986151 32.437969, -85.129553 32.750714, -85.365559 33.744478, -85.625388 34.985901, -84.854376 34.976909, -84.320972 34.98696, -83.076371 34.979028, -83.185925 34.895958, -83.346251 34.706512, -83.076371 34.540347, -82.902815 34.479498, -82.716548 34.163057, -82.597485 33.985781, -82.249289 33.748716, -82.180508 33.624356, -81.943442 33.461369, -81.827015 33.223244, -81.507397 33.021628, -81.435954 32.793037, -81.376707 32.68245, -81.411098 32.608888, -81.22483 32.49936, -81.126412 32.312033, -81.127988 32.121528, -81.036443 32.084476, -80.865007 32.033161))"
37,38,Georgia,Savannah,242941,3901.36,14.41,41.16,156.83,250.27,462.66,549.52,2494.84,386.93,3431.29,7.41,Blue,USA-3543,9687653,"POLYGON ((-80.865007 32.033161, -81.33629 31.44049, -81.490473 30.72983, -81.701597 30.74833, -81.899517 30.821892, -82.020156 30.788018, -82.022817 30.440364, -82.151931 30.350938, -82.226009 30.525553, -83.8479 30.675311, -84.853316 30.721355, -85.005193 30.990693, -85.054415 31.108696, -85.1179 31.236233, -85.090382 31.40028, -85.065526 31.577013, -85.119502 31.7654, -85.063924 32.083417, -84.898843 32.259117, -84.986151 32.437969, -85.129553 32.750714, -85.365559 33.744478, -85.625388 34.985901, -84.854376 34.976909, -84.320972 34.98696, -83.076371 34.979028, -83.185925 34.895958, -83.346251 34.706512, -83.076371 34.540347, -82.902815 34.479498, -82.716548 34.163057, -82.597485 33.985781, -82.249289 33.748716, -82.180508 33.624356, -81.943442 33.461369, -81.827015 33.223244, -81.507397 33.021628, -81.435954 32.793037, -81.376707 32.68245, -81.411098 32.608888, -81.22483 32.49936, -81.126412 32.312033, -81.127988 32.121528, -81.036443 32.084476, -80.865007 32.033161))"
38,40,Idaho,Boise,225677,2741.97,0.89,63.81,22.6,191.87,279.16,326.13,1965.2,153.32,2444.64,18.17,Red,USA-3518,1567582,"POLYGON ((-111.049728 44.488163, -111.050245 42.001597, -114.034223 41.993122, -117.028252 42.000021, -117.013963 43.797069, -116.926656 44.081211, -117.007607 44.21141, -117.194391 44.279132, -117.192299 44.438942, -117.051532 44.665956, -116.836145 44.863851, -116.693285 45.186648, -116.558875 45.444358, -116.457796 45.574531, -116.511255 45.726408, -116.678997 45.807359, -116.915003 45.999983, -116.906528 46.177776, -116.998073 46.33017, -117.02665 47.722927, -117.03143 48.999309, -116.048234 49.000369, -115.9678 47.950484, -115.704276 47.684842, -115.704792 47.50493, -115.519067 47.345121, -115.288332 47.250398, -115.12165 47.095369, -114.84332 46.786318, -114.58561 46.641339, -114.284517 46.631805, -114.394046 46.410087, -114.49143 46.14708, -114.407275 45.889912, -114.523702 45.825369, -114.513651 45.569234, -114.335315 45.470274, -114.137937 45.589336, -114.035799 45.730103, -113.914101 45.702585, -113.794496 45.564997, -113.680213 45.249073, -113.502937 45.124223, -113.439427 44.862792, -113.378578 44.789773, -113.174844 44.765433, -113.052086 44.619912, -112.87481 44.360083, -112.690144 44.498731, -112.362593 44.462222, -112.336135 44.56064, -111.771492 44.498214, -111.542385 44.530486, -111.400016 44.728924, -111.291548 44.701406, -111.194189 44.561156, -111.085178 44.506147, -111.049728 44.488163))"
39,41,Illinois,Chicago,2746388,4381.65,18.26,65.11,439.26,570.36,1098.86,477.13,2358.83,427.84,3263.8,18.99,Blue,USA-3546,12830632,"POLYGON ((-90.640818 42.505364, -89.620054 42.505364, -88.576552 42.503246, -87.806599 42.494254, -87.806599 42.49689, -87.489641 42.495313, -87.039307 42.492652, -87.084808 42.309562, -87.130335 42.127015, -87.175836 41.9439, -87.221337 41.760836, -87.371638 41.760836, -87.520854 41.760836, -87.521371 41.708436, -87.526151 41.708436, -87.52721 40.550083, -87.528269 39.392273, -87.642035 39.113944, -87.559999 39.040382, -87.507082 38.869462, -87.51504 38.735052, -87.598653 38.674203, -87.671129 38.50858, -87.878558 38.290557, -88.018808 38.021736, -88.05108 37.819604, -88.044207 37.744983, -88.15743 37.605819, -88.071725 37.511612, -88.247399 37.438594, -88.473871 37.354981, -88.435242 37.136442, -88.566475 37.053888, -88.807778 37.146493, -89.073963 37.200469, -89.141685 37.103627, -89.103057 36.952293, -89.280333 37.107348, -89.388285 37.081406, -89.516339 37.326921, -89.479287 37.477222, -89.553908 37.719042, -89.654987 37.748678, -89.916909 37.968277, -90.030158 37.971998, -90.228079 38.113281, -90.369879 38.263556, -90.305335 38.439256, -90.212731 38.584777, -90.156094 38.769443, -90.346599 38.930311, -90.535528 38.865768, -90.64981 38.907548, -90.665701 39.074773, -90.749287 39.265278, -90.841375 39.310779, -91.071567 39.44519, -91.262589 39.61505, -91.428212 39.820903, -91.517638 40.119877, -91.430331 40.368596, -91.410229 40.551143, -91.15412 40.699842, -91.087432 40.851719, -90.956742 41.024757, -90.999065 41.179812, -91.123425 41.257585, -91.033999 41.429565, -90.690557 41.478786, -90.461966 41.536457, -90.395278 41.608417, -90.21007 41.834914, -90.156636 42.103735, -90.259808 42.189983, -90.416982 42.270418, -90.464602 42.37837, -90.582605 42.429168, -90.640818 42.505364))"
40,42,Indiana,Fort Wayne,266259,3572.46,13.9,51.08,112.3,180.28,357.55,491.25,2488.55,199.81,3179.61,35.3,Red,USA-3547,6483802,"POLYGON ((-84.806756 41.677741, -84.809934 40.77286, -84.817866 39.799742, -84.82368 39.106528, -84.881377 39.059425, -84.799883 38.855174, -84.843265 38.781096, -85.01155 38.779494, -85.167638 38.691127, -85.404187 38.72712, -85.425891 38.535038, -85.566632 38.461994, -85.698407 38.290015, -85.83969 38.258802, -86.059832 37.960887, -86.262507 38.046619, -86.325475 38.169376, -86.499573 37.969879, -86.61016 37.858749, -86.825522 37.976235, -87.055714 37.88097, -87.131394 37.783611, -87.43936 37.936005, -87.653662 37.826477, -87.911373 37.90425, -87.921424 37.793662, -88.05108 37.819604, -88.018808 38.021736, -87.878558 38.290557, -87.671129 38.50858, -87.598653 38.674203, -87.51504 38.735052, -87.507082 38.869462, -87.559999 39.040382, -87.642035 39.113944, -87.528269 39.392273, -87.52721 40.550083, -87.526151 41.708436, -87.521371 41.760836, -87.221337 41.760836, -86.918126 41.760836, -86.824462 41.760836, -86.824462 41.756056, -85.748146 41.751302, -84.807299 41.756056, -84.806756 41.677741))"
41,43,Indiana,Indianapolis,870788,5775.23,17.91,76.71,400.21,839.13,1333.96,1027.23,2821.47,563.17,4411.87,29.4,Red,USA-3547,6483802,"POLYGON ((-84.806756 41.677741, -84.809934 40.77286, -84.817866 39.799742, -84.82368 39.106528, -84.881377 39.059425, -84.799883 38.855174, -84.843265 38.781096, -85.01155 38.779494, -85.167638 38.691127, -85.404187 38.72712, -85.425891 38.535038, -85.566632 38.461994, -85.698407 38.290015, -85.83969 38.258802, -86.059832 37.960887, -86.262507 38.046619, -86.325475 38.169376, -86.499573 37.969879, -86.61016 37.858749, -86.825522 37.976235, -87.055714 37.88097, -87.131394 37.783611, -87.43936 37.936005, -87.653662 37.826477, -87.911373 37.90425, -87.921424 37.793662, -88.05108 37.819604, -88.018808 38.021736, -87.878558 38.290557, -87.671129 38.50858, -87.598653 38.674203, -87.51504 38.735052, -87.507082 38.869462, -87.559999 39.040382, -87.642035 39.113944, -87.528269 39.392273, -87.52721 40.550083, -87.526151 41.708436, -87.521371 41.760836, -87.221337 41.760836, -86.918126 41.760836, -86.824462 41.760836, -86.824462 41.756056, -85.748146 41.751302, -84.807299 41.756056, -84.806756 41.677741))"
42,44,Iowa,Des Moines,217277,5102.7,12.89,33.6,167.53,456.1,670.11,1099.06,2734.3,579.9,4413.26,19.33,Red,USA-3529,3046355,"POLYGON ((-90.156636 42.103735, -90.21007 41.834914, -90.395278 41.608417, -90.461966 41.536457, -90.690557 41.478786, -91.033999 41.429565, -91.123425 41.257585, -90.999065 41.179812, -90.956742 41.024757, -91.087432 40.851719, -91.15412 40.699842, -91.410229 40.551143, -91.430331 40.368596, -91.567403 40.452208, -91.758425 40.61411, -92.851665 40.592432, -94.002086 40.585017, -94.898491 40.58344, -95.796499 40.583957, -95.862102 40.764928, -95.834067 40.943806, -95.855746 41.116302, -95.958427 41.404708, -96.025089 41.524287, -96.097049 41.556559, -96.104464 41.787811, -96.167432 41.953434, -96.348945 42.141821, -96.346827 42.224374, -96.410311 42.38948, -96.455296 42.488957, -96.453719 42.580502, -96.615648 42.691632, -96.535213 42.855679, -96.483356 43.016005, -96.459533 43.1245, -96.58707 43.257308, -96.586011 43.501247, -96.45266 43.501789, -95.359936 43.500187, -94.001027 43.513417, -92.540005 43.519773, -91.228199 43.501247, -91.21391 43.446754, -91.083737 43.288004, -91.173163 43.212324, -91.169985 43.002233, -91.129238 42.912833, -91.064694 42.754083, -90.738177 42.658275, -90.640818 42.505364, -90.582605 42.429168, -90.464602 42.37837, -90.416982 42.270418, -90.259808 42.189983, -90.156636 42.103735))"
43,45,Kansas,Wichita,391084,6583.5,8.95,97.68,153.16,762.5,1022.29,838.95,4063.07,633.62,5535.64,25.57,Red,USA-3530,2853118,"POLYGON ((-94.604814 39.139859, -94.615382 38.068839, -94.622798 36.999912, -95.50016 36.998853, -97.299844 36.997277, -99.10007 36.995158, -100.100215 36.994099, -101.099792 36.993039, -102.041182 36.99198, -102.040123 38.459875, -102.050174 40.000815, -102.048055 40.000815, -100.300229 40.000815, -99.000076 40.000815, -96.699777 40.001357, -95.322884 40.001357, -95.085302 39.868006, -94.955103 39.870125, -94.926552 39.725121, -95.067292 39.539912, -94.991096 39.444673, -94.867796 39.234582, -94.604814 39.139859))"
44,46,Kentucky,Lexington,322332,4145.73,9.0,62.05,169.7,110.13,350.88,647.47,2739.72,394.93,3782.13,12.72,Red,USA-3548,4339367,"POLYGON ((-81.972536 37.535952, -82.372589 37.238037, -82.684792 37.121094, -82.709132 37.040143, -82.815508 36.934826, -83.089083 36.815763, -83.178509 36.718379, -83.384362 36.656497, -83.673285 36.599859, -84.350091 36.567045, -85.231149 36.60991, -85.519012 36.597741, -86.092621 36.625775, -86.677882 36.633733, -87.216583 36.639004, -87.842049 36.61097, -87.874346 36.656497, -88.072784 36.654378, -88.069606 36.497204, -89.498356 36.506196, -89.273977 36.611512, -89.115227 36.694582, -89.13427 36.851756, -89.103057 36.952293, -89.141685 37.103627, -89.073963 37.200469, -88.807778 37.146493, -88.566475 37.053888, -88.435242 37.136442, -88.473871 37.354981, -88.247399 37.438594, -88.071725 37.511612, -88.15743 37.605819, -88.044207 37.744983, -88.05108 37.819604, -87.921424 37.793662, -87.911373 37.90425, -87.653662 37.826477, -87.43936 37.936005, -87.131394 37.783611, -87.055714 37.88097, -86.825522 37.976235, -86.61016 37.858749, -86.499573 37.969879, -86.325475 38.169376, -86.262507 38.046619, -86.059832 37.960887, -85.83969 38.258802, -85.698407 38.290015, -85.566632 38.461994, -85.425891 38.535038, -85.404187 38.72712, -85.167638 38.691127, -85.01155 38.779494, -84.843265 38.781096, -84.799883 38.855174, -84.881377 39.059425, -84.82368 39.106528, -84.481324 39.083248, -84.30459 38.986923, -84.038948 38.760994, -83.826738 38.690068, -83.672742 38.609117, -83.434617 38.637151, -83.258943 38.57948, -83.044641 38.634515, -82.855195 38.65144, -82.775278 38.511216, -82.58901 38.415433, -82.569967 38.320194, -82.580561 38.113281, -82.461499 37.957167, -82.413336 37.805315, -82.267299 37.675659, -82.167279 37.554478, -81.972536 37.535952))"
