,Unnamed: 0,State,City,Population,Total (Violent and Property),Murder/Manslaughter,Rape,Robbery,Assault,Total Violent,Burglary,Larceny/Theft,Vehicle Theft,Total Property,Arson,blue,adm1_code,population,geometry
10,11,California,Chula Vista,271109,1738.79,0.74,22.87,112.13,162.3,298.04,236.07,915.5,280.7,1432.27,8.48,Blue,USA-3521,37253956,"POLYGON ((-114.354901 34.464667, -114.165972 34.272585, -114.469183 34.067275, -114.548558 33.609525, -114.743301 33.379875, -114.691443 33.203684, -114.655993 33.0539, -114.479777 32.916337, -114.589848 32.716298, -114.72139 32.72083, -115.99108 32.612583, -117.127729 32.535327, -117.295938 33.046225, -117.944 33.621236, -118.410602 33.740909, -118.519895 34.027782, -119.081 34.078, -119.438841 34.348477, -120.367816 34.447226, -120.622865 34.608611, -120.744589 35.156821, -121.714556 36.161721, -122.547451 37.551817, -122.512 37.783611, -122.953317 38.113798, -123.726965 38.951473, -123.86507 39.766927, -124.397958 40.313018, -124.178875 41.142244, -124.213809 41.999478, -119.998976 41.992605, -120.000035 38.995398, -118.11462 37.644421, -116.32075 36.322047, -114.642222 35.053106, -114.62212 34.96368, -114.567084 34.82821, -114.484531 34.653053, -114.354901 34.464667))"
11,12,California,Fremont,236368,2343.8,0.85,28.77,79.11,73.61,182.34,284.73,1499.78,365.95,2150.46,11.0,Blue,USA-3521,37253956,"POLYGON ((-114.354901 34.464667, -114.165972 34.272585, -114.469183 34.067275, -114.548558 33.609525, -114.743301 33.379875, -114.691443 33.203684, -114.655993 33.0539, -114.479777 32.916337, -114.589848 32.716298, -114.72139 32.72083, -115.99108 32.612583, -117.127729 32.535327, -117.295938 33.046225, -117.944 33.621236, -118.410602 33.740909, -118.519895 34.027782, -119.081 34.078, -119.438841 34.348477, -120.367816 34.447226, -120.622865 34.608611, -120.744589 35.156821, -121.714556 36.161721, -122.547451 37.551817, -122.512 37.783611, -122.953317 38.113798, -123.726965 38.951473, -123.86507 39.766927, -124.397958 40.313018, -124.178875 41.142244, -124.213809 41.999478, -119.998976 41.992605, -120.000035 38.995398, -118.11462 37.644421, -116.32075 36.322047, -114.642222 35.053106, -114.62212 34.96368, -114.567084 34.82821, -114.484531 34.653053, -114.354901 34.464667))"
12,13,California,Fresno,526371,4447.63,10.64,33.06,182.0,339.3,565.0,693.24,2618.31,529.85,3841.4,41.23,Blue,USA-3521,37253956,"POLYGON ((-114.354901 34.464667, -114.165972 34.272585, -114.469183 34.067275, -114.548558 33.609525, -114.743301 33.379875, -114.691443 33.203684, -114.655993 33.0539, -114.479777 32.916337, -114.589848 32.716298, -114.72139 32.72083, -115.99108 32.612583, -117.127729 32.535327, -117.295938 33.046225, -117.944 33.621236, -118.410602 33.740909, -118.519895 34.027782, -119.081 34.078, -119.438841 34.348477, -120.367816 34.447226, -120.622865 34.608611, -120.744589 35.156821, -121.714556 36.161721, -122.547451 37.551817, -122.512 37.783611, -122.953317 38.113798, -123.726965 38.951473, -123.86507 39.766927, -124.397958 40.313018, -124.178875 41.142244, -124.213809 41.999478, -119.998976 41.992605, -120.000035 38.995398, -118.11462 37.644421, -116.32075 36.322047, -114.642222 35.053106, -114.62212 34.96368, -114.567084 34.82821, -114.484531 34.653053, -114.354901 34.464667))"
13,14,California,Irvine,276115,1381.31,0.72,16.66,19.92,23.9,61.21,227.08,1019.14,70.26,1316.48,3.62,Blue,USA-3521,37253956,"POLYGON ((-114.354901 34.464667, -114.165972 34.272585, -114.469183 34.067275, -114.548558 33.609525, -114.743301 33.379875, -114.691443 33.203684, -114.655993 33.0539, -114.479777 32.916337, -114.589848 32.716298, -114.72139 32.72083, -115.99108 32.612583, -117.127729 32.535327, -117.295938 33.046225, -117.944 33.621236, -118.410602 33.740909, -118.519895 34.027782, -119.081 34.078, -119.438841 34.348477, -120.367816 34.447226, -120.622865 34.608611, -120.744589 35.156821, -121.714556 36.161721, -122.547451 37.551817, -122.512 37.783611, -122.953317 38.113798, -123.726965 38.951473, -123.86507 39.766927, -124.397958 40.313018, -124.178875 41.142244, -124.213809 41.999478, -119.998976 41.992605, -120.000035 38.995398, -118.11462 37.644421, -116.32075 36.322047, -114.642222 35.053106, -114.62212 34.96368, -114.567084 34.82821, -114.484531 34.653053, -114.354901 34.464667))"
14,15,California,Long Beach,471397,3357.25,4.67,43.06,262.41,347.69,657.83,586.55,1507.01,578.92,2672.48,26.94,Blue,USA-3521,37253956,"POLYGON ((-114.354901 34.464667, -114.165972 34.272585, -114.469183 34.067275, -114.548558 33.609525, -114.743301 33.379875, -114.691443 33.203684, -114.655993 33.0539, -114.479777 32.916337, -114.589848 32.716298, -114.72139 32.72083, -115.99108 32.612583, -117.127729 32.535327, -117.295938 33.046225, -117.944 33.621236, -118.410602 33.740909, -118.519895 34.027782, -119.081 34.078, -119.438841 34.348477, -120.367816 34.447226, -120.622865 34.608611, -120.744589 35.156821, -121.714556 36.161721, -122.547451 37.551817, -122.512 37.783611, -122.953317 38.113798, -123.726965 38.951473, -123.86507 39.766927, -124.397958 40.313018, -124.178875 41.142244, -124.213809 41.999478, -119.998976 41.992605, -120.000035 38.995398, -118.11462 37.644421, -116.32075 36.322047, -114.642222 35.053106, -114.62212 34.96368, -114.567084 34.82821, -114.484531 34.653053, -114.354901 34.464667))"
15,16,California,Los Angeles,3898747,3332.52,7.01,61.27,269.87,423.17,761.31,415.96,1640.99,478.97,2535.92,35.29,Blue,USA-3521,37253956,"POLYGON ((-114.354901 34.464667, -114.165972 34.272585, -114.469183 34.067275, -114.548558 33.609525, -114.743301 33.379875, -114.691443 33.203684, -114.655993 33.0539, -114.479777 32.916337, -114.589848 32.716298, -114.72139 32.72083, -115.99108 32.612583, -117.127729 32.535327, -117.295938 33.046225, -117.944 33.621236, -118.410602 33.740909, -118.519895 34.027782, -119.081 34.078, -119.438841 34.348477, -120.367816 34.447226, -120.622865 34.608611, -120.744589 35.156821, -121.714556 36.161721, -122.547451 37.551817, -122.512 37.783611, -122.953317 38.113798, -123.726965 38.951473, -123.86507 39.766927, -124.397958 40.313018, -124.178875 41.142244, -124.213809 41.999478, -119.998976 41.992605, -120.000035 38.995398, -118.11462 37.644421, -116.32075 36.322047, -114.642222 35.053106, -114.62212 34.96368, -114.567084 34.82821, -114.484531 34.653053, -114.354901 34.464667))"
16,17,California,Oakland,424915,7328.29,16.24,94.14,629.77,559.17,1299.32,617.06,4072.58,1293.2,5982.84,46.13,Blue,USA-3521,37253956,"POLYGON ((-114.354901 34.464667, -114.165972 34.272585, -114.469183 34.067275, -114.548558 33.609525, -114.743301 33.379875, -114.691443 33.203684, -114.655993 33.0539, -114.479777 32.916337, -114.589848 32.716298, -114.72139 32.72083, -115.99108 32.612583, -117.127729 32.535327, -117.295938 33.046225, -117.944 33.621236, -118.410602 33.740909, -118.519895 34.027782, -119.081 34.078, -119.438841 34.348477, -120.367816 34.447226, -120.622865 34.608611, -120.744589 35.156821, -121.714556 36.161721, -122.547451 37.551817, -122.512 37.783611, -122.953317 38.113798, -123.726965 38.951473, -123.86507 39.766927, -124.397958 40.313018, -124.178875 41.142244, -124.213809 41.999478, -119.998976 41.992605, -120.000035 38.995398, -118.11462 37.644421, -116.32075 36.322047, -114.642222 35.053106, -114.62212 34.96368, -114.567084 34.82821, -114.484531 34.653053, -114.354901 34.464667))"
17,18,California,Riverside,328023,3589.38,3.66,50.61,165.84,288.7,508.81,510.03,2020.89,527.4,3058.32,22.25,Blue,USA-3521,37253956,"POLYGON ((-114.354901 34.464667, -114.165972 34.272585, -114.469183 34.067275, -114.548558 33.609525, -114.743301 33.379875, -114.691443 33.203684, -114.655993 33.0539, -114.479777 32.916337, -114.589848 32.716298, -114.72139 32.72083, -115.99108 32.612583, -117.127729 32.535327, -117.295938 33.046225, -117.944 33.621236, -118.410602 33.740909, -118.519895 34.027782, -119.081 34.078, -119.438841 34.348477, -120.367816 34.447226, -120.622865 34.608611, -120.744589 35.156821, -121.714556 36.161721, -122.547451 37.551817, -122.512 37.783611, -122.953317 38.113798, -123.726965 38.951473, -123.86507 39.766927, -124.397958 40.313018, -124.178875 41.142244, -124.213809 41.999478, -119.998976 41.992605, -120.000035 38.995398, -118.11462 37.644421, -116.32075 36.322047, -114.642222 35.053106, -114.62212 34.96368, -114.567084 34.82821, -114.484531 34.653053, -114.354901 34.464667))"
18,19,California,Sacramento,499997,3654.02,7.8,19.8,220.0,428.0,675.6,577.6,1815.41,543.6,2936.62,41.8,Blue,USA-3521,37253956,"POLYGON ((-114.354901 34.464667, -114.165972 34.272585, -114.469183 34.067275, -114.548558 33.609525, -114.743301 33.379875, -114.691443 33.203684, -114.655993 33.0539, -114.479777 32.916337, -114.589848 32.716298, -114.72139 32.72083, -115.99108 32.612583, -117.127729 32.535327, -117.295938 33.046225, -117.944 33.621236, -118.410602 33.740909, -118.519895 34.027782, -119.081 34.078, -119.438841 34.348477, -120.367816 34.447226, -120.622865 34.608611, -120.744589 35.156821, -121.714556 36.161721, -122.547451 37.551817, -122.512 37.783611, -122.953317 38.113798, -123.726965 38.951473, -123.86507 39.766927, -124.397958 40.313018, -124.178875 41.142244, -124.213809 41.999478, -119.998976 41.992605, -120.000035 38.995398, -118.11462 37.644421, -116.32075 36.322047, -114.642222 35.053106, -114.62212 34.96368, -114.567084 34.82821, -114.484531 34.653053, -114.354901 34.464667))"
19,20,California,San Bernardino,217259,5189.66,15.65,72.72,403.67,799.05,1291.09,983.16,1836.52,1048.06,3867.73,30.84,Blue,USA-3521,37253956,"POLYGON ((-114.354901 34.464667, -114.165972 34.272585, -114.469183 34.067275, -114.548558 33.609525, -114.743301 33.379875, -114.691443 33.203684, -114.655993 33.0539, -114.479777 32.916337, -114.589848 32.716298, -114.72139 32.72083, -115.99108 32.612583, -117.127729 32.535327, -117.295938 33.046225, -117.944 33.621236, -118.410602 33.740909, -118.519895 34.027782, -119.081 34.078, -119.438841 34.348477, -120.367816 34.447226, -120.622865 34.608611, -120.744589 35.156821, -121.714556 36.161721, -122.547451 37.551817, -122.512 37.783611, -122.953317 38.113798, -123.726965 38.951473, -123.86507 39.766927, -124.397958 40.313018, -124.178875 41.142244, -124.213809 41.999478, -119.998976 41.992605, -120.000035 38.995398, -118.11462 37.644421, -116.32075 36.322047, -114.642222 35.053106, -114.62212 34.96368, -114.567084 34.82821, -114.484531 34.653053, -114.354901 34.464667))"
